,min,max,mean,std,month,district
515,5.006343841552734,64.78620147705078,26.10705440560567,9.634815961850842,2020-01-01,Angeles District
516,14.072909355163574,147.9009246826172,80.0278052478903,26.548405783787164,2020-01-01,Bay Area District
504,30.976865768432617,75.39360046386719,48.37612391364645,8.792078037346277,2020-01-01,Capital District
505,3.5593953132629395,149.40679931640625,42.520617855198694,23.873461297850213,2020-01-01,Central Valley District
517,6.417632102966309,96.9378890991211,38.683569259404386,17.61888868310403,2020-01-01,Channel Coast District
506,1.5979740619659424,67.10256958007812,24.74550731552163,14.066781769304507,2020-01-01,Colorado Desert District
507,9.502911567687988,151.5181884765625,39.4814909996345,15.323188119516093,2020-01-01,Diablo Range District
508,36.61915588378906,172.4005584716797,89.29250035350678,33.95060960990863,2020-01-01,Gold Fields District
512,1.162650465965271,87.41152954101562,14.36394803320101,11.167374873428685,2020-01-01,Great Basin District
514,2.032653331756592,74.5023193359375,10.701557066567313,9.625761248126922,2020-01-01,Inland Empire District
518,13.47684383392334,158.35922241210938,46.2865417179803,25.149661055452086,2020-01-01,Monterey District
519,45.88462829589844,488.05950927734375,223.4432530683031,71.27787631557005,2020-01-01,North Coast Redwoods District
509,23.284008026123047,247.3226776123047,88.63516418277105,36.93773968812191,2020-01-01,Northern Buttes District
520,9.755605697631836,50.146942138671875,27.0770263671875,9.53617870556481,2020-01-01,Oceano Dunes District
510,0.05488554760813713,15.008810997009277,5.612053217017898,2.4056241559346394,2020-01-01,Ocotillo Wells District
521,5.204124450683594,40.11459732055664,26.833306884765626,9.73453976032343,2020-01-01,Orange Coast District
522,7.70030403137207,40.099971771240234,27.19670138888889,6.925646831362448,2020-01-01,San Diego Coast District
523,10.033857345581055,59.035545349121094,26.816868216691617,11.509567878063143,2020-01-01,San Luis Obispo Coast District
524,16.016321182250977,186.65322875976562,96.0620868389423,46.6349370396675,2020-01-01,Santa Cruz District
511,3.176018238067627,200.49925231933594,55.98001126126126,44.53855185410988,2020-01-01,Sierra District
513,20.280494689941406,203.15652465820312,113.52301422213623,34.249644353552426,2020-01-01,Sonoma-Mendocino Coast District
1397,7.192658424377441,48.67470932006836,15.802440735073024,5.455238443815121,2020-02-01,Angeles District
1398,1.8226397037506104,20.19501495361328,8.504671636010022,2.9971111630164233,2020-02-01,Bay Area District
1386,3.8137969970703125,12.105045318603516,6.338976978550296,1.361845187414845,2020-02-01,Capital District
1387,1.7806382179260254,36.08651351928711,8.826807677259119,5.398664995905375,2020-02-01,Central Valley District
1399,4.606938362121582,32.398834228515625,17.336246693769592,5.891065959965299,2020-02-01,Channel Coast District
1388,2.7288734912872314,62.312835693359375,19.049523894720103,10.31229390683094,2020-02-01,Colorado Desert District
1389,1.3557851314544678,20.547000885009766,7.170985528600146,2.800196234672776,2020-02-01,Diablo Range District
1390,3.0746920108795166,12.670513153076172,6.178699890412896,1.7738417676293088,2020-02-01,Gold Fields District
1394,1.3860454559326172,41.42414093017578,9.716230884608445,6.598694417835758,2020-02-01,Great Basin District
1396,0.9753947257995605,60.43678283691406,8.886876901701442,7.321937592491487,2020-02-01,Inland Empire District
1400,4.236976623535156,28.117008209228516,10.343413254310345,3.9523964417618194,2020-02-01,Monterey District
1401,3.635436534881592,120.23983764648438,31.142275880469583,18.060963036817864,2020-02-01,North Coast Redwoods District
1391,4.1853790283203125,71.80702209472656,15.156899975434,8.311335708839751,2020-02-01,Northern Buttes District
1402,6.471572399139404,31.525665283203125,17.644135056880483,5.5197026405231515,2020-02-01,Oceano Dunes District
1392,1.0279805660247803,30.182605743408203,6.067619623267898,3.3307212652259612,2020-02-01,Ocotillo Wells District
1403,7.261699676513672,24.603864669799805,16.997293090820314,4.589904230247945,2020-02-01,Orange Coast District
1404,8.825254440307617,33.223323822021484,21.77511574074074,4.871052772897571,2020-02-01,San Diego Coast District
1405,4.347013473510742,36.132816314697266,12.57739696388473,5.763230323269922,2020-02-01,San Luis Obispo Coast District
1406,2.8334784507751465,25.70989990234375,13.330425555889423,5.972408589629416,2020-02-01,Santa Cruz District
1393,2.2968506813049316,27.966062545776367,9.713834509732948,3.880048936166173,2020-02-01,Sierra District
1395,1.2860829830169678,18.6308536529541,9.147297673181114,3.615402497386851,2020-02-01,Sonoma-Mendocino Coast District
809,19.32754898071289,268.9114685058594,101.2556110395189,33.49979221570982,2020-03-01,Angeles District
810,8.370088577270508,76.10853576660156,43.66532337816456,11.645569797911698,2020-03-01,Bay Area District
798,22.273799896240234,55.90290069580078,36.07413207285503,8.332207713174434,2020-03-01,Capital District
799,6.6880879402160645,386.59649658203125,82.09921066956996,42.812136583172425,2020-03-01,Central Valley District
811,14.273975372314453,386.19976806640625,144.4266751567398,75.29563243122793,2020-03-01,Channel Coast District
800,19.758270263671875,322.10357666015625,113.7653963899491,53.208463266821134,2020-03-01,Colorado Desert District
801,9.676947593688965,136.13937377929688,57.09671966374269,20.033880548468456,2020-03-01,Diablo Range District
802,43.324363708496094,161.00680541992188,88.53468785350678,29.86267100791561,2020-03-01,Gold Fields District
806,2.808178186416626,286.66064453125,51.233173944424394,41.25996684116104,2020-03-01,Great Basin District
808,8.657394409179688,349.11236572265625,49.42871724416294,45.545012337788144,2020-03-01,Inland Empire District
812,17.253236770629883,264.6476745605469,90.74753694581281,41.07870227492898,2020-03-01,Monterey District
813,19.230274200439453,179.19847106933594,101.03726153948773,27.22722595461989,2020-03-01,North Coast Redwoods District
803,6.834903717041016,200.77964782714844,60.24785559285948,33.44807850274467,2020-03-01,Northern Buttes District
