,month,district,mean
138,2021-12-01,Bay Area District,123.73
139,2021-12-01,Central Valley District,651.3740778688524
140,2021-12-01,Great Basin District,771.946
141,2021-12-01,Northern Buttes District,642.0403333333334
142,2021-12-01,Ocotillo Wells District,-72.775
143,2021-12-01,Sierra District,1579.630455058369
144,2022-01-01,Bay Area District,124.953
145,2022-01-01,Central Valley District,653.3376666666667
146,2022-01-01,Great Basin District,772.6765
147,2022-01-01,Northern Buttes District,647.7603750000001
148,2022-01-01,Ocotillo Wells District,-72.75375
149,2022-01-01,Sierra District,1580.3297852251392
150,2022-02-01,Bay Area District,125.092
151,2022-02-01,Central Valley District,653.4002725988701
152,2022-02-01,Great Basin District,773.449
153,2022-02-01,Northern Buttes District,642.272875
154,2022-02-01,Ocotillo Wells District,-72.6965
155,2022-02-01,Sierra District,1580.7408931696873
156,2022-03-01,Bay Area District,124.837
157,2022-03-01,Central Valley District,654.1444166666666
158,2022-03-01,Great Basin District,773.324
159,2022-03-01,Northern Buttes District,642.2568333333334
160,2022-03-01,Ocotillo Wells District,-72.6704
161,2022-03-01,Sierra District,1581.4287941124937
162,2022-04-01,Bay Area District,124.382
163,2022-04-01,Central Valley District,653.1605555555556
164,2022-04-01,Great Basin District,774.195
165,2022-04-01,Northern Buttes District,642.3190081967213
166,2022-04-01,Ocotillo Wells District,-72.68066666666667
167,2022-04-01,Sierra District,1582.8932975372675
168,2022-05-01,Bay Area District,123.7405
169,2022-05-01,Central Valley District,653.93375
170,2022-05-01,Great Basin District,774.425
171,2022-05-01,Northern Buttes District,642.243375
172,2022-05-01,Ocotillo Wells District,-72.64275
173,2022-05-01,Sierra District,1583.7376349746437
174,2022-06-01,Bay Area District,122.903
175,2022-06-01,Central Valley District,655.582
176,2022-06-01,Great Basin District,774.839
177,2022-06-01,Northern Buttes District,642.22275
178,2022-06-01,Ocotillo Wells District,-72.634
179,2022-06-01,Sierra District,1583.928909585858
180,2022-07-01,Bay Area District,122.094
181,2022-07-01,Central Valley District,651.0414166666667
182,2022-07-01,Great Basin District,773.928
183,2022-07-01,Northern Buttes District,642.5020000000001
184,2022-07-01,Ocotillo Wells District,-72.8555
185,2022-07-01,Sierra District,1583.1798317226878
186,2022-08-01,Bay Area District,121.369
187,2022-08-01,Central Valley District,656.6066666666667
188,2022-08-01,Great Basin District,771.615
189,2022-08-01,Northern Buttes District,641.9671666666667
190,2022-08-01,Ocotillo Wells District,-72.90533333333333
191,2022-08-01,Sierra District,1582.4432994122265
192,2022-09-01,Bay Area District,120.721
193,2022-09-01,Central Valley District,650.7943210382514
194,2022-09-01,Great Basin District,772.5375032679739
195,2022-09-01,Northern Buttes District,642.01175
196,2022-09-01,Ocotillo Wells District,-72.95833333333333
197,2022-09-01,Sierra District,1581.5047060685295
198,2022-10-01,Bay Area District,120.399
199,2022-10-01,Central Valley District,650.8094890710382
200,2022-10-01,Great Basin District,773.4302483660131
201,2022-10-01,Northern Buttes District,641.93475
202,2022-10-01,Ocotillo Wells District,-73.088
203,2022-10-01,Sierra District,1581.004020156469
204,2022-11-01,Bay Area District,120.223
205,2022-11-01,Central Valley District,652.3999807555239
206,2022-11-01,Great Basin District,774.3527516339869
207,2022-11-01,Northern Buttes District,642.0479166666668
208,2022-11-01,Ocotillo Wells District,-73.089
209,2022-11-01,Sierra District,1579.9064265384297
210,2022-12-01,Bay Area District,120.192
211,2022-12-01,Central Valley District,649.6293115942029
212,2022-12-01,Great Basin District,775.2454967320261
213,2022-12-01,Northern Buttes District,641.93025
214,2022-12-01,Ocotillo Wells District,-72.98833333333333
215,2022-12-01,Sierra District,1579.4718300185566
216,2023-01-01,Bay Area District,123.21350000000001
217,2023-01-01,Central Valley District,649.8009166666667
218,2023-01-01,Great Basin District,776.168
219,2023-01-01,Northern Buttes District,643.344375
220,2023-01-01,Ocotillo Wells District,-72.97733333333333
221,2023-01-01,Sierra District,1581.6745673183914
222,2023-02-01,Bay Area District,125.944
223,2023-02-01,Central Valley District,655.9125006944445
224,2023-02-01,Great Basin District,777.975
225,2023-02-01,Northern Buttes District,650.045625
226,2023-02-01,Ocotillo Wells District,-72.991
227,2023-02-01,Sierra District,1582.3145102904607
228,2023-03-01,Bay Area District,129.955
229,2023-03-01,Central Valley District,660.8228612500001
230,2023-03-01,Great Basin District,779.066
231,2023-03-01,Northern Buttes District,642.878
232,2023-03-01,Ocotillo Wells District,-72.97999999999999
233,2023-03-01,Sierra District,1582.3254105448423
234,2023-04-01,Bay Area District,131.377
235,2023-04-01,Central Valley District,660.4620997222223
236,2023-04-01,Great Basin District,787.418
237,2023-04-01,Northern Buttes District,643.1034583333334
238,2023-04-01,Ocotillo Wells District,-72.9555
239,2023-04-01,Sierra District,1582.9455082644627
240,2023-05-01,Bay Area District,131.415
241,2023-05-01,Central Valley District,652.8962122222222
242,2023-05-01,Great Basin District,785.142
243,2023-05-01,Northern Buttes District,644.2302827868853
244,2023-05-01,Ocotillo Wells District,-72.98150000000001
245,2023-05-01,Sierra District,1584.75017630854
246,2023-06-01,Bay Area District,131.009
247,2023-06-01,Central Valley District,658.6842833333334
248,2023-06-01,Great Basin District,780.765
249,2023-06-01,Northern Buttes District,645.879125
250,2023-06-01,Ocotillo Wells District,-73.0175
251,2023-06-01,Sierra District,1586.084732285598
252,2023-07-01,Bay Area District,130.422
253,2023-07-01,Central Valley District,662.2935
254,2023-07-01,Great Basin District,782.4506557377049
255,2023-07-01,Northern Buttes District,645.9375
256,2023-07-01,Ocotillo Wells District,-73.16266666666667
257,2023-07-01,Sierra District,1586.080673553719
258,2023-08-01,Bay Area District,129.766
259,2023-08-01,Central Valley District,660.1511666666667
260,2023-08-01,Great Basin District,784.1925
261,2023-08-01,Northern Buttes District,645.4383750000001
262,2023-08-01,Ocotillo Wells District,-73.104
263,2023-08-01,Sierra District,1584.9135583103766
264,2023-09-01,Bay Area District,129.10250000000002
265,2023-09-01,Central Valley District,664.7597695810564
266,2023-09-01,Great Basin District,785.9343442622951
267,2023-09-01,Northern Buttes District,644.7284999999999
268,2023-09-01,Ocotillo Wells District,-73.26175
269,2023-09-01,Sierra District,1584.1207691143927
270,2023-10-01,Bay Area District,128.584
271,2023-10-01,Central Valley District,656.8933333333333
272,2023-10-01,Great Basin District,787.62
273,2023-10-01,Northern Buttes District,643.201375
274,2023-10-01,Ocotillo Wells District,-73.377
275,2023-10-01,Sierra District,1583.3558888888888
276,2023-11-01,Bay Area District,128.549
277,2023-11-01,Central Valley District,651.6709836956521
278,2023-11-01,Great Basin District,784.047
279,2023-11-01,Northern Buttes District,644.01575
280,2023-11-01,Ocotillo Wells District,-73.24666666666667
281,2023-11-01,Sierra District,1582.7829578020644
282,2023-12-01,Bay Area District,128.474
283,2023-12-01,Central Valley District,651.6495996376811
284,2023-12-01,Great Basin District,782.2755
285,2023-12-01,Northern Buttes District,644.1513333333334
286,2023-12-01,Ocotillo Wells District,-73.25666666666666
287,2023-12-01,Sierra District,1582.47972705314
288,2024-01-01,Bay Area District,128.729
289,2024-01-01,Central Valley District,651.8781666666667
290,2024-01-01,Great Basin District,782.454
291,2024-01-01,Northern Buttes District,646.12025
292,2024-01-01,Ocotillo Wells District,-73.22749999999999
293,2024-01-01,Sierra District,1582.0819468599034
294,2024-02-01,Bay Area District,131.258
295,2024-02-01,Central Valley District,654.6591666666667
296,2024-02-01,Great Basin District,783.366
297,2024-02-01,Northern Buttes District,648.2173750000001
298,2024-02-01,Ocotillo Wells District,-73.103
299,2024-02-01,Sierra District,1582.327962962963
300,2024-03-01,Bay Area District,133.784
301,2024-03-01,Central Valley District,657.7652222222223
302,2024-03-01,Great Basin District,784.566
303,2024-03-01,Northern Buttes District,648.7221666666667
304,2024-03-01,Ocotillo Wells District,-73.1078
305,2024-03-01,Sierra District,1583.0503333333334
306,2024-04-01,Bay Area District,134.157
307,2024-04-01,Central Valley District,661.4704166666667
308,2024-04-01,Great Basin District,785.614
309,2024-04-01,Northern Buttes District,649.93075
310,2024-04-01,Ocotillo Wells District,-73.0135
311,2024-04-01,Sierra District,1585.0616912568305
312,2024-05-01,Bay Area District,133.72050000000002
