,sum,std,month,district
0,2401.3951009114585,0.4856744110757925,2020-01-01,Angeles District
1,2963.3582560221353,0.6104232652469528,2020-01-01,Bay Area District
2,953.4950942993164,0.3448839175366683,2020-01-01,Capital District
3,16149.5380859375,0.521697589084425,2020-01-01,Central Valley District
4,3012.4918619791665,0.5498306149788633,2020-01-01,Channel Coast District
5,4385.15625,0.5836408088702157,2020-01-01,Colorado Desert District
6,14512.778483072916,0.7374811117522381,2020-01-01,Diablo Range District
7,138.1876983642578,0.1467402211597131,2020-01-01,Gold Fields District
8,11527.925048828125,0.3482227196528325,2020-01-01,Great Basin District
9,11398.950846354166,0.41745474024077295,2020-01-01,Inland Empire District
10,887.4720916748047,0.3378907826072404,2020-01-01,Monterey District
11,1050.2265625,0.1993862405289425,2020-01-01,North Coast Redwoods District
12,11068.833417892456,0.2607112193699713,2020-01-01,Northern Buttes District
13,1016.4473470052084,0.5377962256155662,2020-01-01,Oceano Dunes District
14,70659.96875,1.5597680310563125,2020-01-01,Ocotillo Wells District
15,304.01292928059894,0.34165139997407595,2020-01-01,Orange Coast District
16,1483.2147013346355,0.5647286290956098,2020-01-01,San Diego Coast District
17,2324.6239013671875,0.4532327931528716,2020-01-01,San Luis Obispo Coast District
18,2865.0916341145835,0.7691340724222943,2020-01-01,Santa Cruz District
19,7072.139729817708,0.3780567102332937,2020-01-01,Sierra District
20,1133.13916015625,0.3471712094095553,2020-01-01,Sonoma-Mendocino Coast District
21,2963.3582356770835,0.5640461660653306,2020-02-01,Angeles District
22,37319.889322916664,2.2459514503761557,2020-02-01,Bay Area District
23,18053.454427083332,1.8028855527344456,2020-02-01,Capital District
24,44078.796875,0.8860849873879971,2020-02-01,Central Valley District
25,2763.7538248697915,0.527081483554512,2020-02-01,Channel Coast District
26,4133.347493489583,0.5667649244401283,2020-02-01,Colorado Desert District
27,94916.51822916667,2.0947555045178743,2020-02-01,Diablo Range District
28,5631.916178385417,0.9275207049992208,2020-02-01,Gold Fields District
29,11150.213216145834,0.3582960906194437,2020-02-01,Great Basin District
30,11598.5546875,0.42119407915388324,2020-02-01,Inland Empire District
31,964.2430419921875,0.388848292621923,2020-02-01,Monterey District
32,11245.407552083334,0.6464569876419896,2020-02-01,North Coast Redwoods District
33,184234.890625,1.433488289888876,2020-02-01,Northern Buttes District
34,758.4968872070312,0.46543503421945953,2020-02-01,Oceano Dunes District
35,71489.08854166667,1.5686219820561271,2020-02-01,Ocotillo Wells District
36,509.75904337565106,0.442110873013349,2020-02-01,Orange Coast District
37,1983.7610677083333,0.6584207807347223,2020-02-01,San Diego Coast District
38,3196.7421875,0.5580698655756179,2020-02-01,San Luis Obispo Coast District
39,14343.8828125,1.8587810330565364,2020-02-01,Santa Cruz District
40,70844.21614583333,1.2283184171498356,2020-02-01,Sierra District
41,4185.551595052083,0.6630049439792939,2020-02-01,Sonoma-Mendocino Coast District
42,1983.7611490885417,0.4575231560930173,2020-03-01,Angeles District
43,28829.024739583332,1.9759182284704118,2020-03-01,Bay Area District
44,5370.89501953125,1.02031729117771,2020-03-01,Capital District
45,33865.193359375,0.7755337336028868,2020-03-01,Central Valley District
46,2155.72802734375,0.46445614172500643,2020-03-01,Channel Coast District
47,3285.7964680989585,0.5005539791141048,2020-03-01,Colorado Desert District
48,67902.36328125,1.7824608467440048,2020-03-01,Diablo Range District
49,3021.704305013021,0.6754830889163159,2020-03-01,Gold Fields District
50,17172.123372395832,0.4285641211881676,2020-03-01,Great Basin District
51,5656.4835205078125,0.28044150939062457,2020-03-01,Inland Empire District
52,307.0837707519531,0.20776377743039606,2020-03-01,Monterey District
53,9092.750325520834,0.5843956820218176,2020-03-01,North Coast Redwoods District
54,121368.70833333333,1.1708340366731997,2020-03-01,Northern Buttes District
55,552.7507731119791,0.3972290058313365,2020-03-01,Oceano Dunes District
56,71559.71354166667,1.5693622208387803,2020-03-01,Ocotillo Wells District
57,446.806884765625,0.41432110148006235,2020-03-01,Orange Coast District
58,1649.0398559570312,0.6006116114641759,2020-03-01,San Diego Coast District
59,2785.249755859375,0.5201438609940103,2020-03-01,San Luis Obispo Coast District
60,13090.981119791666,1.7794161077196498,2020-03-01,Santa Cruz District
61,64232.7109375,1.155953572218764,2020-03-01,Sierra District
62,3663.5096028645835,0.6220827820851018,2020-03-01,Sonoma-Mendocino Coast District
63,2082.0279541015625,0.4729576213469606,2020-04-01,Angeles District
64,27824.861328125,1.9553468579832554,2020-04-01,Bay Area District
65,4022.7972819010415,0.8834106286890634,2020-04-01,Capital District
66,27502.420572916668,0.7008942030433886,2020-04-01,Central Valley District
67,2128.0904947916665,0.46255674563436866,2020-04-01,Channel Coast District
68,3580.5967610677085,0.5264588286485766,2020-04-01,Colorado Desert District
69,70472.65104166667,1.8190337781103443,2020-04-01,Diablo Range District
70,2275.49072265625,0.5661004111453295,2020-04-01,Gold Fields District
71,12074.53515625,0.3709304562122162,2020-04-01,Great Basin District
72,7901.264811197917,0.3447172088752341,2020-04-01,Inland Empire District
73,451.4131164550781,0.2691201705249752,2020-04-01,Monterey District
74,3436.2672526041665,0.3554259665114546,2020-04-01,North Coast Redwoods District
75,123754.77083333333,1.1823981374498092,2020-04-01,Northern Buttes District
76,448.34227498372394,0.3570264992359065,2020-04-01,Oceano Dunes District
77,70881.06510416667,1.5622250649426987,2020-04-01,Ocotillo Wells District
78,307.08375549316406,0.3228989819735489,2020-04-01,Orange Coast District
79,1329.6727549235027,0.4907740488579771,2020-04-01,San Diego Coast District
